formulation,target_column,seed,model,n_classes,n_train,n_test,runtime_seconds,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,logloss
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,7,LightGBM_fixed,3,736,184,1.5618367195129395,0.6467391304347826,0.5764769647696476,0.5861509733200316,0.5861509733200316,0.6408308948894442,0.6078203639179249,0.5764769647696476,0.766710075028714,1.371233381276017
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,21,LogisticRegression_balanced,3,736,184,0.014677047729492188,0.5815217391304348,0.5716892502258356,0.5522978044450437,0.5522978044450437,0.5825035027655726,0.5436080705086553,0.5716892502258356,0.8115461770442008,0.7678455224499254
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,21,RandomForest_balanced,3,736,184,1.0133438110351562,0.6467391304347826,0.5757181571815718,0.5851510496671787,0.5851510496671787,0.6401756495024377,0.6063953488372092,0.5757181571815718,0.8157396974488939,0.721984478535225
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,21,ExtraTrees_balanced,3,736,184,0.7858994007110596,0.657608695652174,0.6086901535682023,0.6068172158008035,0.6068172158008035,0.6600038361593338,0.6055082052577975,0.6086901535682023,0.8284422442095014,0.7210143952918899
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,21,XGBoost_fixed,3,736,184,0.21339869499206543,0.6684782608695652,0.5844564890093346,0.5946443168854034,0.5946443168854034,0.6575795496220682,0.6287141073657927,0.5844564890093346,0.8222236488557044,0.7079038503979099
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,21,LightGBM_fixed,3,736,184,0.5524842739105225,0.6358695652173914,0.5909123757904245,0.5873015873015873,0.5873015873015873,0.6348990683229814,0.5850156317190242,0.5909123757904245,0.8104662110578905,1.0299365826875946
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,84,LogisticRegression_balanced,3,736,184,0.01380014419555664,0.5978260869565217,0.575224330021078,0.5528545760157654,0.5528545760157654,0.6032259040015725,0.5505050505050505,0.575224330021078,0.8001364685043324,0.7849259246316337
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,84,RandomForest_balanced,3,736,184,0.9851622581481934,0.6521739130434783,0.5801626016260163,0.586017302480717,0.586017302480717,0.6484636287625418,0.5964353823432414,0.5801626016260163,0.8273677975913025,0.7042876225960006
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,84,ExtraTrees_balanced,3,736,184,0.7789196968078613,0.6086956521739131,0.5453658536585365,0.5432367213038404,0.5432367213038404,0.6106687526269089,0.541847335140018,0.5453658536585365,0.8236352328109314,0.7323789671383858
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,84,XGBoost_fixed,3,736,184,0.22002458572387695,0.6847826086956522,0.5831255645889794,0.591593565087541,0.591593565087541,0.6683222152577837,0.6621563175780043,0.5831255645889794,0.8331305909066636,0.6962252164025761
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,84,LightGBM_fixed,3,736,184,0.492250919342041,0.6739130434782609,0.6141222523336345,0.6172008547008547,0.6172008547008547,0.674320652173913,0.6216587527698638,0.6141222523336345,0.8242144045100407,0.9165027739900629
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,123,LogisticRegression_balanced,3,736,184,0.022839784622192383,0.6195652173913043,0.6321288768443241,0.5838683127572016,0.5838683127572016,0.6221148684916801,0.5881172839506174,0.6321288768443241,0.8097534285824245,0.785342691886381
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,123,RandomForest_balanced,3,736,184,1.0102474689483643,0.6739130434782609,0.6043239987955434,0.6129378721491967,0.6129378721491967,0.6661757594408053,0.6317348927875243,0.6043239987955434,0.8156395745734946,0.7240527328362008
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,123,ExtraTrees_balanced,3,736,184,0.8024003505706787,0.6902173913043478,0.6650647395362842,0.6510823785683901,0.6510823785683901,0.6902924245186443,0.6440422322775264,0.6650647395362842,0.8312877355276432,0.7174615410098054
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,123,XGBoost_fixed,3,736,184,0.20514273643493652,0.6630434782608695,0.581150255947004,0.5958616927635413,0.5958616927635413,0.6534464692004055,0.649907046897471,0.581150255947004,0.8169518034440831,0.7399399282553326
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,123,LightGBM_fixed,3,736,184,0.5101323127746582,0.657608695652174,0.5928876844323998,0.5957907245832942,0.5957907245832942,0.6552980335050601,0.5996931448738677,0.5928876844323998,0.7790044129244912,1.2238216418211743
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,42,LogisticRegression_balanced,5,736,184,0.019492387771606445,0.4891304347826087,0.4392158386175874,0.3659135126918985,0.3659135126918985,0.5065270466966699,0.3567549236668481,0.4392158386175874,0.759951321031241,1.2690796878868438
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,42,RandomForest_balanced,5,736,184,1.050487995147705,0.6032608695652174,0.4227482902126252,0.4251763838997881,0.4251763838997881,0.6027751080248767,0.4306240345999382,0.4227482902126252,0.8198824675753403,0.9929747449906544
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,42,ExtraTrees_balanced,5,736,184,0.7958047389984131,0.5706521739130435,0.3523588391973113,0.3481761267381204,0.3481761267381204,0.5716775083829418,0.3500045599635203,0.3523588391973113,0.8075951712344063,1.021364688155654
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,42,XGBoost_fixed,5,736,184,0.545384407043457,0.5978260869565217,0.36062797457183093,0.3548858789194044,0.3548858789194044,0.5828298069404272,0.35407066052227343,0.36062797457183093,0.7952102184791415,1.072159975445892
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,42,LightGBM_fixed,5,736,184,2.490018367767334,0.5652173913043478,0.40170729715138365,0.4082805352485999,0.4082805352485999,0.5653231663794882,0.42734817813765186,0.40170729715138365,0.7900607552550138,1.7743712584458085
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,7,LogisticRegression_balanced,5,736,184,0.0220794677734375,0.5108695652173914,0.449987548883085,0.3900527145810165,0.3900527145810165,0.5183523067034141,0.38169395821569735,0.449987548883085,0.7942592339527628,1.1989273759079706
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,7,RandomForest_balanced,5,736,184,1.052405834197998,0.5597826086956522,0.393049288493375,0.4072107172107172,0.4072107172107172,0.5555936865719474,0.45541555384097965,0.393049288493375,0.8073777621225673,1.0516051176340142
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,7,ExtraTrees_balanced,5,736,184,0.8389248847961426,0.5543478260869565,0.41086992467572314,0.4242212539393028,0.4242212539393028,0.5493516572683873,0.44909456005841547,0.41086992467572314,0.7964647071767301,1.080228710899147
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,7,XGBoost_fixed,5,736,184,0.3263065814971924,0.532608695652174,0.3202712152090891,0.31344086021505374,0.31344086021505374,0.5131489332313316,0.32002903452884246,0.3202712152090891,0.7889019531363837,1.1018469048666228
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,7,LightGBM_fixed,5,736,184,0.8107430934906006,0.5054347826086957,0.3262075093184159,0.32180596979873655,0.32180596979873655,0.5093903894674395,0.31976532239690136,0.3262075093184159,0.757995479206957,2.028499333477249
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,21,LogisticRegression_balanced,5,736,184,0.01897907257080078,0.46195652173913043,0.32336327577929047,0.31557541841913545,0.31557541841913545,0.47722704166454444,0.3190828877005347,0.32336327577929047,0.7286244258238656,1.2218898406446825
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,21,RandomForest_balanced,5,736,184,1.0559959411621094,0.5543478260869565,0.3663319806439917,0.3675310070046912,0.3675310070046912,0.5400278671874782,0.3731322885276754,0.3663319806439917,0.7851743811730247,1.0329284166438404
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,21,ExtraTrees_balanced,5,736,184,0.8288910388946533,0.5380434782608695,0.38904341555054855,0.39216896924213995,0.39216896924213995,0.5354895104895105,0.39676145278199193,0.38904341555054855,0.7746129556607467,1.0748443068956224
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,21,XGBoost_fixed,5,736,184,0.3223304748535156,0.5489130434782609,0.33375049555445324,0.33546869796869794,0.33546869796869794,0.5183627513790556,0.3626892655367232,0.33375049555445324,0.7765012507638481,1.115052237775215
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,21,LightGBM_fixed,5,736,184,0.8079006671905518,0.532608695652174,0.3202502973326719,0.3183908045977012,0.3183908045977012,0.512703952078015,0.32301849075462263,0.3202502973326719,0.7580747970277184,1.8971363100080598
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,84,LogisticRegression_balanced,5,736,184,0.04444766044616699,0.5434782608695652,0.4559192609813871,0.41596337324710253,0.41596337324710253,0.5525697852952886,0.4116074132396584,0.4559192609813871,0.7629616195576567,1.167353393022403
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,84,RandomForest_balanced,5,736,184,1.0344209671020508,0.5543478260869565,0.3901415044535156,0.3969513055751588,0.3969513055751588,0.5470664556823313,0.4083610188261352,0.3901415044535156,0.7962798772343657,1.033504272567031
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,84,ExtraTrees_balanced,5,736,184,0.8115622997283936,0.5217391304347826,0.354232084834938,0.3500368008921429,0.3500368008921429,0.5196260963375133,0.349025567673878,0.354232084834938,0.782751667898421,1.0716099092409046
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,84,XGBoost_fixed,5,736,184,0.331836462020874,0.5869565217391305,0.4158641174747939,0.42570566829676143,0.42570566829676143,0.5755165087500945,0.4458257129872865,0.4158641174747939,0.7936089069129506,1.0754414685895946
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,84,LightGBM_fixed,5,736,184,0.8370091915130615,0.5652173913043478,0.3928042505124879,0.3902471939699154,0.3902471939699154,0.5582901498791436,0.3926080996172959,0.3928042505124879,0.7875334162233176,1.890924590788515
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,123,LogisticRegression_balanced,5,736,184,0.03071117401123047,0.5652173913043478,0.4559065110376661,0.41994812941710435,0.41994812941710435,0.5808710839824204,0.42025430709641237,0.4559065110376661,0.7816229347710565,1.13121863482703
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,123,RandomForest_balanced,5,736,184,1.2343406677246094,0.6141304347826086,0.3887665027103592,0.38473456368193215,0.38473456368193215,0.6026714513556619,0.3840142772495133,0.3887665027103592,0.817755169440763,0.9822337187584438
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,123,ExtraTrees_balanced,5,736,184,0.9962482452392578,0.5597826086956522,0.3457491886852218,0.34705205905205905,0.34705205905205905,0.5644579575014358,0.35115118860535305,0.3457491886852218,0.809406681098381,1.0151250466210282
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,123,XGBoost_fixed,5,736,184,0.5391585826873779,0.6141304347826086,0.3856644812466258,0.3845674513603554,0.3845674513603554,0.5899093012413159,0.39607753357753356,0.3856644812466258,0.8114183223761853,0.9775278820900152
multiclass_5class_0_1_2_3_4,multiclass_5class_0_1_2_3_4,123,LightGBM_fixed,5,736,184,0.9579579830169678,0.6032608695652174,0.41314419588694784,0.4092307692307692,0.4092307692307692,0.5982580824972128,0.41221153846153846,0.41314419588694784,0.7861958274193365,1.526334018292148
